trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-61.45580186471604,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9975}",25,0,-170.9027107357256,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9950000000000001}",20,9,-79.48867720610595,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9925000000000002}",20,0,-88.62142135734032,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9900000000000002}",20,0,-126.70134021778726,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9875000000000003}",25,0,-18.260653756040448,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9850000000000003}",20,0,-49.74581006334571,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9825000000000004}",25,0,-104.50438147030863,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9800000000000004}",35,0,-196.28005428445678,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9775000000000005}",30,0,-169.98561999764624,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9750000000000005}",25,0,-176.86039843638804,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9725000000000006}",30,0,-69.88219259991072,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9700000000000006}",25,0,-124.30759959912115,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9675000000000007}",20,6,-48.87317327645619,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.9650000000000007}",20,0,-118.69269869378722,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9625000000000008}",25,0,-160.0931543043784,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.9600000000000009}",35,0,-221.28059151055191,"{0: 21, 1: 3, 2: 5, 3: 3, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9575000000000009}",25,0,-116.56181949732613,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.955000000000001}",20,0,-39.58884401333137,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.952500000000001}",20,0,-132.8127299823582,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9500000000000011}",30,0,-152.29005839166425,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9475000000000011}",20,0,-32.527487188816266,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9450000000000012}",20,0,-155.88879187827726,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9425000000000012}",25,0,-137.79461656458645,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9400000000000013}",20,0,-171.89914460719365,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9375000000000013}",25,0,-89.61922104461891,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9350000000000014}",20,0,-57.022447676392254,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9325000000000014}",30,0,-139.58373819705412,"{0: 24, 1: 2, 2: 0, 3: 0, 4: 4}",0
29,False,"{'a': 0.5, 'e': 0.9300000000000015}",20,0,-137.87583269915393,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.9275000000000015}",20,0,-61.578871640131425,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9250000000000016}",25,0,-125.50666405764349,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9225000000000017}",20,14,3.9190131689263357,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
