trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.20365716156388,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.997}",25,0,-172.8044886901848,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.994}",25,0,-167.87727904274718,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.991}",20,0,-158.48492472023608,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.988}",20,3,-63.84534418245089,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.985}",20,0,-18.495149542302276,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.982}",20,0,-92.76062122642327,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.979}",20,0,-51.31376239416428,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.976}",20,0,-113.81279577828651,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.973}",25,0,-69.39591268398402,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.97}",25,0,-132.69321020194045,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.967}",25,0,-108.39765458222789,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.964}",25,0,-213.84187082771118,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.961}",30,0,-60.92758071898558,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.958}",25,0,-146.0822692922808,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.955}",25,0,-150.04200237633543,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.952}",25,0,-142.70613609241184,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.949}",20,0,-25.07218486348101,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.946}",30,0,-100.45938556589644,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.943}",25,0,-215.5951735256802,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,0,-60.10403574926374,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-52.12129112350165,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-104.59993590040335,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-60.40885634125651,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-74.67889154665713,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-124.33317974611779,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,11,-95.48589462386408,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",35,0,-98.6868186523971,"{0: 23, 1: 3, 2: 7, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-74.90746670845456,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,-129.5225319800084,"{0: 13, 1: 4, 2: 3, 3: 5, 4: 0}",0
